Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
1,19,22.98,99,1,1,19,15.79,94.74,63.16,57.89,10.53,10.53,0,0,10.53,0,0,0,5.26,5.26,0,10.53,26.32,0,5.26,0,36.84,0,0,5.26,0,0,5.26,15.79,0,15.79,0,5.26,5.26,5.26,0,5.26,0,10.53,0,10.53,0,0,0,0,0,0,0,21.05,5.26,0,0,5.26,0,0,15.79,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,21.05,5.26,0,0,0,0,10.53,0,5.26,10.53,0,0,0,0,0,0,5.26,0,15.79,5.26,0,0,5.26,0,0,0,0,0,5.26,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0
1,36,41.36,13.82,22.12,20.23,36,38.89,77.78,61.11,44.44,22.22,11.11,8.33,2.78,0,0,0,11.11,11.11,5.56,0,8.33,5.56,2.78,2.78,0,16.67,5.56,0,2.78,2.78,0,0,22.22,0,22.22,5.56,2.78,2.78,2.78,0,2.78,0,5.56,2.78,2.78,2.78,0,2.78,0,0,2.78,0,11.11,8.33,5.56,0,0,2.78,2.78,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,0,0,0,2.78,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,5.56,0,0,0,0,5.56,0,0
1,61,13.44,59.57,37.69,89.9,61,9.84,90.16,77.05,55.74,18.03,11.48,3.28,0,3.28,0,0,6.56,11.48,4.92,0,6.56,11.48,4.92,6.56,1.64,18.03,19.67,0,4.92,3.28,0,1.64,18.03,0,18.03,3.28,1.64,1.64,3.28,0,8.2,0,4.92,4.92,0,3.28,3.28,0,0,0,0,0,16.39,6.56,0,0,0,0,0,13.11,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0,0,9.84,3.28,0,0,3.28,0,0,0,0,0,4.92,0,0,0,0,0,0,8.2,0,0,0,0,8.2,0,0
1,34,29.85,99,4.6,66.58,34,14.71,94.12,73.53,58.82,26.47,26.47,0,8.82,0,0,17.65,0,8.82,2.94,0,14.71,5.88,0,8.82,0,17.65,2.94,0,8.82,8.82,0,0,5.88,0,5.88,0,0,2.94,0,0,2.94,0,8.82,5.88,2.94,0,0,0,0,0,0,0,32.35,2.94,0,0,0,0,0,26.47,0,0,0,0,2.94,2.94,0,0,8.82,0,0,2.94,5.88,0,2.94,2.94,0,0,0,0,0,0,0,2.94,0,2.94,0,0,0,2.94,2.94,0,14.71,8.82,0,2.94,5.88,0,0,0,0,0,2.94,0,0,0,0,0,0,2.94,0,0,0,0,2.94,0,0
1,53,48.72,29.6,18.63,49.04,53,18.87,92.45,71.7,62.26,11.32,5.66,3.77,0,1.89,0,0,5.66,13.21,5.66,1.89,15.09,13.21,3.77,9.43,0,18.87,5.66,5.66,9.43,1.89,1.89,5.66,18.87,0,18.87,3.77,5.66,3.77,3.77,0,3.77,0,5.66,3.77,1.89,0,0,0,0,0,0,0,9.43,3.77,1.89,0,0,0,0,3.77,0,0,0,0,1.89,1.89,0,0,0,0,0,0,0,0,5.66,3.77,0,0,0,5.66,0,3.77,0,0,0,0,0,0,0,0,1.89,0,11.32,7.55,0,1.89,3.77,1.89,0,0,0,0,1.89,1.89,0,0,0,0,0,3.77,0,0,0,0,3.77,0,0
1,61,87.11,10.78,71.87,44.83,61,9.84,93.44,72.13,60.66,18.03,11.48,11.48,0,0,0,0,6.56,18.03,8.2,1.64,19.67,9.84,0,1.64,0,18.03,3.28,1.64,8.2,0,3.28,4.92,9.84,0,9.84,4.92,1.64,3.28,0,0,0,0,4.92,3.28,1.64,1.64,1.64,0,0,0,0,0,11.48,3.28,0,0,1.64,0,0,4.92,0,0,1.64,0,0,0,0,0,3.28,0,0,1.64,1.64,0,3.28,0,0,0,0,0,0,0,1.64,0,1.64,1.64,0,0,0,0,0,0,9.84,8.2,0,0,8.2,0,0,0,0,0,8.2,0,0,0,0,0,0,1.64,0,0,0,0,1.64,0,0
1,32,62.1,23.51,32.54,1,32,15.63,93.75,68.75,46.88,9.38,3.13,3.13,0,0,0,0,6.25,12.5,3.13,3.13,12.5,12.5,3.13,3.13,0,28.13,9.38,3.13,3.13,0,0,3.13,9.38,0,9.38,6.25,0,3.13,0,0,0,0,9.38,0,9.38,3.13,0,3.13,0,0,0,0,12.5,6.25,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,3.13,0,0,0,0,3.13,6.25,3.13,3.13,0,0,0,0,0,0,0,0,3.13,0,0,0,0,3.13,0,12.5,15.63,0,0,6.25,6.25,0,3.13,3.13,0,9.38,0,0,0,0,0,0,6.25,0,0,0,0,6.25,0,0
1,27,23.88,62.05,52.89,1,27,25.93,92.59,66.67,62.96,18.52,7.41,7.41,0,0,0,0,11.11,18.52,11.11,0,7.41,14.81,3.7,7.41,0,14.81,3.7,0,7.41,7.41,0,0,3.7,0,3.7,0,0,0,0,0,3.7,0,3.7,0,3.7,0,0,0,0,0,0,0,22.22,14.81,3.7,0,0,3.7,0,14.81,7.41,0,3.7,3.7,0,0,0,0,3.7,0,0,0,0,3.7,3.7,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,7.41,0,0,0,0,0,14.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,39,18.87,95.32,2.93,99,39,17.95,94.87,71.79,61.54,15.38,12.82,0,5.13,0,0,7.69,2.56,7.69,2.56,0,15.38,15.38,5.13,7.69,2.56,23.08,2.56,2.56,7.69,5.13,0,2.56,23.08,2.56,20.51,2.56,2.56,10.26,2.56,0,5.13,0,7.69,7.69,0,0,0,0,0,0,0,0,28.21,10.26,2.56,0,0,2.56,2.56,15.38,0,0,0,0,5.13,2.56,2.56,0,0,0,0,0,0,0,5.13,2.56,0,0,0,0,0,2.56,0,0,0,0,0,0,0,2.56,0,0,5.13,10.26,0,2.56,7.69,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,73.93,25.5,9.25,20.23,37,32.43,91.89,72.97,54.05,13.51,5.41,2.7,2.7,0,0,0,8.11,10.81,2.7,2.7,18.92,10.81,2.7,2.7,0,16.22,16.22,8.11,8.11,2.7,2.7,2.7,16.22,2.7,13.51,0,5.41,2.7,0,0,5.41,0,5.41,2.7,2.7,2.7,0,0,0,0,0,0,2.7,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,2.7,0,0,0,2.7,0,13.51,10.81,5.41,0,0,2.7,0,0,0,2.7,0,0,0,0,0,2.7,0,0,5.41,5.41,0,0,5.41,0,0,0,0,2.7,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
