Segment;WC;Analytic;Clout;Authentic;Tone;WPS;BigWords;Dic;Linguistic;function;pronoun;ppron;i;we;you;shehe;they;ipron;det;article;number;prep;auxverb;adverb;conj;negate;verb;adj;quantity;Drives;affiliation;achieve;power;Cognition;allnone;cogproc;insight;cause;discrep;tentat;certitude;differ;memory;Affect;tone_pos;tone_neg;emotion;emo_pos;emo_neg;emo_anx;emo_anger;emo_sad;swear;Social;socbehav;prosocial;polite;conflict;moral;comm;socrefs;family;friend;female;male;Culture;politic;ethnicity;tech;Lifestyle;leisure;home;work;money;relig;Physical;health;illness;wellness;mental;substances;sexual;food;death;need;want;acquire;lack;fulfill;fatigue;reward;risk;curiosity;allure;Perception;attention;motion;space;visual;auditory;feeling;time;focuspast;focuspresent;focusfuture;Conversation;netspeak;assent;nonflu;filler;AllPunc;Period;Comma;QMark;Exclam;Apostro;OtherP;Emoji
1;101;17.84;99;54.98;98.32;101;13.86;95.05;78.22;57.43;14.85;13.86;4.95;5.94;0;2.97;0;0.99;15.84;5.94;1.98;7.92;13.86;3.96;9.9;0;22.77;13.86;7.92;16.83;14.85;2.97;0;3.96;0.99;2.97;1.98;0;0;0;0;0;0;8.91;7.92;0.99;4.95;4.95;0;0;0;0;0;21.78;3.96;0.99;0;0;0;0;18.81;5.94;0.99;0.99;7.92;0;0;0;0;0.99;0.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.97;0;0;0;0;0;0;5.94;6.93;0;0.99;6.93;0;0;0;6.93;5.94;8.91;2.97;0;0;0;0;0;0;0;0;0;0;0;0;0
1;20;80.96;3.95;89.39;20.23;20;30;80;55;45;15;10;10;0;0;0;0;5;5;0;15;20;10;0;0;0;15;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;15;0;5;5;5;0;0;5;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
1;41;12.54;26.81;99;89.58;41;17.07;85.37;73.17;63.41;14.63;12.2;4.88;2.44;0;2.44;0;2.44;0;0;0;19.51;12.2;14.63;7.32;2.44;24.39;2.44;0;4.88;2.44;2.44;0;24.39;0;24.39;7.32;0;7.32;4.88;0;4.88;0;4.88;4.88;0;4.88;4.88;0;0;0;0;0;7.32;0;0;0;0;0;0;7.32;0;0;0;2.44;0;0;0;0;0;0;0;0;0;0;4.88;0;0;0;0;0;0;2.44;0;0;0;2.44;0;0;0;0;0;2.44;7.32;21.95;0;4.88;17.07;0;0;0;2.44;4.88;7.32;2.44;0;0;0;0;0;0;0;0;0;0;0;0;0
1;36;89.52;92.24;39.59;93.93;36;13.89;80.56;69.44;58.33;8.33;8.33;2.78;5.56;0;0;0;0;19.44;16.67;0;13.89;11.11;2.78;8.33;0;22.22;0;2.78;8.33;8.33;0;0;0;0;0;0;0;0;0;0;0;0;5.56;5.56;0;0;0;0;0;0;0;0;8.33;0;0;0;0;0;0;8.33;2.78;0;2.78;0;0;0;0;0;5.56;5.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.33;11.11;0;5.56;5.56;0;0;0;2.78;0;2.78;8.33;0;0;0;0;0;0;0;0;0;0;0;0;0
1;63;89.52;88.15;77.17;70.15;63;14.29;90.48;71.43;58.73;12.7;11.11;4.76;6.35;0;0;0;1.59;14.29;7.94;1.59;23.81;11.11;1.59;4.76;1.59;23.81;4.76;0;11.11;11.11;0;0;4.76;0;4.76;0;1.59;0;1.59;0;1.59;0;3.17;3.17;0;0;0;0;0;0;0;0;14.29;1.59;0;0;0;0;0;11.11;1.59;3.17;1.59;0;0;0;0;0;4.76;4.76;0;0;0;0;3.17;0;0;0;0;0;0;3.17;0;0;0;1.59;0;0;0;0;0;0;9.52;9.52;0;1.59;7.94;1.59;0;0;6.35;1.59;1.59;6.35;0;0;0;0;0;0;0;0;0;0;0;0;0
1;111;92.78;50.79;55.76;76.19;111;16.22;82.88;63.06;49.55;9.91;7.21;4.5;2.7;0;0;0;2.7;13.51;5.41;4.5;18.92;0.9;2.7;8.11;0;3.6;10.81;9.01;6.31;6.31;0;0;6.31;0.9;5.41;0;0;0;4.5;0;2.7;0;3.6;3.6;0;1.8;1.8;0;0;0;0;0;9.01;2.7;0;0;0;0;0.9;6.31;0;1.8;0;0.9;0;0;0;0;6.31;3.6;0.9;0.9;0.9;0;2.7;0;0;0;0;0;0;1.8;0;0;0;0;0;0.9;0;0;0;0;9.01;13.51;0;1.8;6.31;3.6;1.8;0;3.6;0;1.8;0;0.9;0.9;0;0;0;1.8;0;0;0;0;1.8;0;0
1;62;93.3;31.06;91.84;44.38;62;17.74;91.94;74.19;56.45;14.52;6.45;1.61;0;0;1.61;3.23;8.06;19.35;12.9;0;16.13;4.84;0;3.23;3.23;11.29;12.9;8.06;1.61;1.61;0;0;12.9;1.61;11.29;3.23;1.61;0;0;1.61;4.84;0;1.61;1.61;0;0;0;0;0;0;0;0;8.06;0;0;0;0;0;0;8.06;1.61;0;1.61;0;0;0;0;0;1.61;0;1.61;0;0;0;3.23;0;0;0;0;0;0;1.61;0;0;0;1.61;0;0;0;0;0;0;8.06;17.74;0;0;16.13;0;0;1.61;1.61;0;8.06;0;0;0;0;0;0;3.23;0;0;0;0;3.23;0;0
1;68;72.12;66.03;99;66.58;68;22.06;89.71;64.71;51.47;13.24;11.76;5.88;2.94;0;0;2.94;1.47;13.24;4.41;1.47;16.18;5.88;4.41;5.88;0;11.76;4.41;7.35;5.88;4.41;1.47;0;13.24;2.94;10.29;7.35;2.94;1.47;0;0;0;0;2.94;2.94;0;0;0;0;0;0;0;0;14.71;5.88;1.47;0;0;0;0;7.35;1.47;0;1.47;0;0;0;0;0;4.41;0;0;2.94;1.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.82;14.71;0;8.82;7.35;0;0;0;5.88;0;4.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;48;62.1;84.23;39.59;99;48;14.58;95.83;72.92;58.33;16.67;12.5;2.08;0;0;10.42;0;4.17;18.75;8.33;0;16.67;4.17;8.33;8.33;0;10.42;8.33;0;6.25;2.08;6.25;0;8.33;0;8.33;2.08;0;2.08;2.08;2.08;0;0;16.67;16.67;0;8.33;8.33;0;0;0;0;0;14.58;4.17;0;0;0;0;0;10.42;0;0;10.42;0;0;0;0;0;10.42;8.33;0;2.08;0;0;6.25;0;0;0;0;0;0;4.17;0;0;0;2.08;0;0;0;0;0;0;16.67;12.5;0;2.08;10.42;0;0;0;12.5;0;2.08;2.08;0;0;0;0;0;2.08;0;0;0;0;2.08;0;0
1;88;91.01;90.11;99;73.53;88;14.77;79.55;59.09;48.86;9.09;9.09;3.41;3.41;0;1.14;1.14;0;14.77;9.09;0;15.91;3.41;1.14;10.23;0;10.23;2.27;3.41;5.68;5.68;0;0;2.27;1.14;1.14;0;1.14;0;0;0;0;0;3.41;3.41;0;0;0;0;0;0;0;0;11.36;1.14;0;0;0;0;0;10.23;1.14;1.14;2.27;0;0;0;0;0;2.27;1.14;1.14;0;0;0;2.27;0;0;0;0;0;0;2.27;0;0;0;0;0;0;0;0;0;0;6.82;17.05;0;6.82;13.64;0;0;0;14.77;0;1.14;0;0;0;0;0;0;4.55;0;0;0;0;4.55;0;0
