outcome_class,word_counts,num_sentences,num_syllables,avg_syllables_per_word,fk_grade,fk_read,Analytic,Authentic,Tone,tone_pos,tone_neg,focuspast,focuspresent,focusfuture,Cognition,memory,Self-reference,Other-reference,Contextual Embedding,Perceptual Details,Reality Monitoring,concr_score,Temporal details,Spatial details,People,Quantity details
t,101,6,133,1.316831683168317,6.3,79.8,17.84,54.98,98.32,7.92,0.99,5.94,8.91,2.97,3.96,0.0,10.89,2.97,14.85,0.0,19.799999999999997,3.301081081081081,2.9702970297029703,0.0,0.99009900990099,1.98019801980198
t,20,1,26,1.368421052631579,8.3,69.11,80.96,89.39,20.23,0.0,0.0,5.0,0.0,5.0,0.0,0.0,10.0,0.0,15.0,5.0,20.0,3.5316666666666667,5.0,5.0,0.0,5.0
t,41,2,54,1.3170731707317074,7.7,76.05,12.54,99.0,89.58,4.88,0.0,4.88,7.32,2.44,24.39,0.0,7.32,2.44,24.39,0.0,4.879999999999999,3.010833333333333,0.0,7.317073170731707,4.878048780487805,0.0
t,36,2,45,1.25,6.8,78.59,89.52,39.59,93.93,5.56,0.0,0.0,2.78,8.33,0.0,0.0,8.34,0.0,13.899999999999999,0.0,19.459999999999997,4.259166666666667,0.0,0.0,0.0,0.0
t,63,3,80,1.2698412698412698,7.9,75.54,89.52,77.17,70.15,3.17,0.0,1.59,1.59,6.35,4.76,0.0,11.11,0.0,15.88,1.59,15.88,3.6973684210526323,3.1746031746031744,0.0,0.0,0.0
t,111,7,142,1.3271028037383177,5.7,81.33,92.78,55.76,76.19,3.6,0.0,0.0,1.8,0.0,6.31,0.0,7.2,0.0,11.709999999999999,5.4,14.400000000000002,3.6051111111111114,1.8018018018018016,0.0,0.0,2.702702702702702
t,62,3,78,1.3,7.6,76.56,93.3,91.84,44.38,1.61,0.0,0.0,8.06,0.0,12.9,0.0,1.61,4.84,17.74,1.61,8.059999999999997,3.3273076923076923,0.0,0.0,0.0,0.0
t,68,3,95,1.3970588235294117,9.8,65.35,72.12,99.0,66.58,2.94,0.0,0.0,4.41,0.0,13.24,0.0,8.82,2.94,22.05,0.0,11.750000000000002,3.4244,2.941176470588235,0.0,0.0,0.0
t,48,1,60,1.2765957446808511,18.1,49.15,62.1,39.59,99.0,16.67,0.0,0.0,2.08,2.08,8.33,0.0,2.08,10.42,25.0,0.0,33.34,3.1409999999999996,2.083333333333333,0.0,0.0,0.0
t,88,4,109,1.2976190476190477,7.9,75.54,91.01,99.0,73.53,3.41,0.0,0.0,1.14,0.0,2.27,0.0,6.82,2.28,35.230000000000004,0.0,36.37,3.7551612903225795,7.954545454545455,2.272727272727273,2.272727272727273,0.0
t,15,1,22,1.4666666666666666,8.0,64.71,99.0,19.26,99.0,13.33,0.0,0.0,0.0,6.67,0.0,0.0,13.34,0.0,6.67,0.0,20.0,3.865,0.0,0.0,0.0,0.0
t,91,5,108,1.1868131868131868,5.7,86.84,79.91,99.0,35.85,1.1,0.0,0.0,4.4,7.69,9.89,0.0,7.7,1.1,21.980000000000004,0.0,13.190000000000005,3.670416666666666,2.197802197802198,0.0,0.0,0.0
t,41,3,44,1.1,2.6,100.28,92.38,99.0,20.23,0.0,0.0,0.0,2.33,0.0,4.65,0.0,11.63,0.0,30.23,0.0,25.58,3.8892307692307693,7.317073170731707,0.0,0.0,0.0
t,66,5,79,1.2741935483870968,4.6,84.27,40.61,79.84,67.94,3.03,0.0,0.0,3.03,4.55,12.12,0.0,12.12,0.0,18.18,1.52,10.610000000000001,3.2555555555555555,6.0606060606060606,0.0,0.0,1.5151515151515151
t,23,1,35,1.5217391304347827,11.1,56.59,99.0,17.84,84.9,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04,4.35,21.740000000000002,4.117272727272727,0.0,4.3478260869565215,0.0,0.0
t,92,5,109,1.1978021978021978,5.7,86.84,87.96,60.36,35.66,1.09,0.0,0.0,4.35,2.17,8.7,0.0,11.96,0.0,18.48,1.09,11.96,3.5679166666666666,3.260869565217391,0.0,0.0,0.0
t,15,1,18,1.2,4.4,90.09,99.0,99.0,20.23,0.0,0.0,0.0,0.0,6.67,0.0,0.0,6.67,0.0,33.33,13.34,46.67,4.086,6.666666666666667,0.0,0.0,0.0
t,76,3,110,1.4666666666666666,11.9,54.56,95.91,23.3,38.83,2.56,1.28,0.0,6.41,2.56,2.56,0.0,0.0,0.0,12.82,2.56,16.67,3.5654545454545454,0.0,0.0,0.0,3.947368421052632
t,51,3,55,1.1224489795918366,3.7,97.23,99.0,90.94,20.23,0.0,0.0,0.0,1.96,0.0,1.96,0.0,7.84,0.0,25.48,0.0,23.52,3.36125,1.96078431372549,1.96078431372549,0.0,1.96078431372549
t,106,6,133,1.2666666666666666,6.6,79.09,57.26,93.37,20.23,0.0,0.0,0.94,3.77,4.72,2.83,0.0,6.609999999999999,0.0,23.58,0.94,21.689999999999998,3.8238235294117646,3.7735849056603774,0.0,0.9433962264150944,1.8867924528301887
t,34,3,45,1.3235294117647058,4.2,85.39,46.7,83.69,66.58,2.94,0.0,2.94,5.88,2.94,11.76,0.0,5.88,0.0,11.76,2.94,5.880000000000001,3.2708333333333335,0.0,0.0,0.0,0.0
t,75,6,98,1.3066666666666666,4.6,84.17,94.04,85.71,92.7,5.33,0.0,1.33,6.67,2.67,1.33,0.0,8.0,0.0,17.34,5.34,26.68,3.6615999999999995,1.3333333333333337,0.0,1.3333333333333337,0.0
t,51,3,63,1.2352941176470589,5.2,88.06,52.65,32.94,50.31,1.96,0.0,0.0,3.92,9.8,3.92,0.0,9.8,3.92,15.68,0.0,13.72,3.36125,1.96078431372549,0.0,0.0,0.0
t,47,2,60,1.3636363636363635,9.5,66.07,82.46,99.0,20.23,0.0,0.0,2.13,0.0,2.13,10.64,0.0,8.51,0.0,34.05,2.13,25.54,3.439375,4.25531914893617,2.127659574468085,0.0,0.0
