memType,word_counts,num_sentences,num_syllables,avg_syllables_per_word,fk_grade,fk_read,Analytic,Authentic,Tone,tone_pos,tone_neg,focuspast,focuspresent,focusfuture,Cognition,memory,Self-reference,Other-reference,Contextual Embedding,Perceptual Details,Reality Monitoring,concr_score,Temporal details,Spatial details,People,Quantity details
imagined,204,15,271,1.3349753694581281,5.0,83.15,29.85,78.94,95.42,6.37,0.49,8.82,1.47,0.98,11.76,0.49,11.27,4.41,12.739999999999998,2.45,10.289999999999997,3.2113725490196074,0.0098039215686274,0.0,0.0,0.0
recalled,187,16,219,1.1967213114754098,3.0,93.74,59.56,78.46,98.35,7.49,0.53,11.23,0.0,0.0,3.21,0.0,9.09,1.6,17.11,7.4799999999999995,29.4,3.6000000000000005,0.0160427807486631,0.0106951871657754,0.0053475935828877,0.0
imagined,269,21,337,1.2669172932330828,4.7,83.96,45.02,83.2,48.55,2.23,0.37,10.78,3.72,1.12,7.06,0.74,9.659999999999998,1.86,13.39,3.72,12.650000000000002,3.1707894736842106,0.0223048327137546,0.0,0.0,0.0111524163568773
recalled,167,15,207,1.2545454545454546,4.0,85.69,1.0,48.87,57.69,3.59,1.2,14.37,2.4,1.8,13.77,1.2,10.18,7.78,9.59,0.0,0.6099999999999994,3.2119999999999997,0.0119760479041916,0.0,0.0,0.0179640718562874
imagined,165,15,195,1.2037037037037037,2.8,94.35,36.2,97.64,67.94,3.64,0.61,6.67,3.03,1.21,13.94,0.0,13.94,1.21,15.15,3.6399999999999997,9.090000000000002,3.0279999999999996,0.0242424242424241,0.0121212121212121,0.0,0.0121212121212121
recalled,322,21,414,1.3018867924528301,5.6,81.53,14.1,90.87,59.17,3.11,0.62,5.28,4.66,0.93,13.66,0.0,11.18,0.62,13.04,1.24,4.349999999999998,3.205374999999999,0.0093167701863354,0.0,0.0062111801242236,0.0
imagined,308,24,373,1.2269736842105263,3.5,92.42,56.86,32.28,16.53,2.6,2.92,11.04,0.0,0.65,8.12,0.32,7.470000000000001,3.9,15.899999999999999,1.94,15.56,3.2338202247191012,0.0129870129870128,0.0064935064935064,0.0292207792207792,0.0
recalled,285,15,363,1.2826855123674912,7.1,77.67,31.8,74.54,29.71,2.11,1.4,10.18,1.4,2.11,12.28,0.0,9.469999999999999,1.05,14.74,4.199999999999999,10.169999999999996,2.959078947368421,0.017543859649122702,0.0035087719298245,0.0035087719298245,0.0035087719298245
imagined,335,18,420,1.2650602409638554,6.9,78.18,73.29,61.31,57.57,2.99,0.6,12.24,0.6,0.6,8.06,0.0,6.869999999999999,2.69,14.32,2.69,12.530000000000003,3.2179207920792083,0.035820895522388,0.0,0.0149253731343283,0.0119402985074626
recalled,254,16,341,1.3531746031746033,7.1,72.36,45.33,90.04,37.19,1.57,0.39,11.81,0.0,1.57,11.42,0.0,8.66,1.57,18.119999999999997,4.7299999999999995,13.399999999999997,3.4876119402985073,0.0314960629921259,0.0,0.0,0.0039370078740157
imagined,338,17,414,1.2395209580838322,6.2,85.42,33.47,99.0,11.24,0.89,1.78,10.06,0.89,1.18,14.5,0.0,9.76,1.78,18.34,2.6599999999999997,9.16,3.233076923076923,0.0118343195266272,0.0088757396449704,0.0,0.0
recalled,213,15,252,1.1943127962085307,4.1,91.0,33.81,99.0,20.23,0.94,0.94,9.39,2.82,0.0,11.74,0.0,11.74,1.88,15.489999999999998,6.58,13.15,3.1187719298245615,0.0093896713615023,0.0,0.0,0.0046948356807511
imagined,230,17,292,1.3333333333333333,4.8,83.76,33.51,96.69,53.96,2.61,0.43,5.22,3.04,0.0,12.17,0.43,10.87,4.35,16.08,0.43,7.379999999999997,3.1479411764705882,0.0043478260869565,0.0,0.0,0.0043478260869565
recalled,324,26,414,1.2897196261682242,4.5,84.37,16.83,99.0,24.14,0.62,0.31,12.92,0.92,1.54,17.54,0.62,13.85,2.15,15.379999999999999,2.77,2.460000000000001,3.2828,0.0308641975308641,0.0,0.0,0.0061728395061728
imagined,236,17,301,1.2974137931034482,5.1,83.05,50.32,65.08,5.97,0.42,2.11,8.86,2.53,0.84,11.81,0.42,4.64,2.9499999999999997,17.729999999999997,1.26,9.709999999999999,3.3201612903225803,0.012711864406779601,0.0,0.0,0.0
imagined,358,19,434,1.2122905027932962,5.9,86.23,20.03,66.01,11.65,0.84,1.68,10.61,2.79,1.96,13.41,0.0,6.71,7.27,14.52,0.8400000000000001,4.459999999999997,3.040459770114943,0.0083798882681563,0.0,0.0,0.0055865921787708
