ID,labels,word_counts,num_sentences,num_syllables,avg_syllables_per_word,fk_grade,fk_read,Analytic,Authentic,Tone,tone_pos,tone_neg,focuspast,focuspresent,focusfuture,Cognition,memory,Self-reference,Other-reference,Contextual Embedding,Perceptual Details,Reality Monitoring,concr_score,Temporal details,Spatial details,People,Quantity details
1,F,19,3,24,1.263157894736842,2.2,90.46,22.98,1.0,1.0,0.0,10.53,0.0,5.26,10.53,15.79,0.0,0.0,10.53,5.26,0.0,0.0,3.7262500000000003,0.0,0.0,0.0,0.0
1,T,36,3,66,1.9411764705882353,11.2,34.63,41.36,22.12,20.23,2.78,2.78,0.0,5.56,0.0,22.22,0.0,11.11,0.0,0.0,0.0,-16.66,2.709285714285714,0.0,0.0,0.0,0.0
1,T,61,3,73,1.3035714285714286,7.0,77.87,13.44,37.69,89.9,4.92,0.0,0.0,4.92,0.0,18.03,0.0,3.28,3.28,3.28,0.0,-9.830000000000002,2.5499999999999994,0.0,0.0,0.0,0.0
1,F,34,3,42,1.2727272727272727,4.0,85.69,29.85,4.6,66.58,5.88,2.94,0.0,2.94,0.0,5.88,0.0,8.82,17.65,8.82,0.0,11.760000000000002,3.1633333333333327,0.0,0.0,0.0,0.0
1,T,53,3,73,1.4313725490196079,7.6,71.14,48.72,18.63,49.04,3.77,1.89,0.0,1.89,1.89,18.87,0.0,3.77,1.89,5.66,1.89,-5.66,3.07125,0.0,0.0,0.0,1.8867924528301887
2,F,61,4,72,1.2,4.4,90.09,87.11,71.87,44.83,3.28,1.64,0.0,8.2,0.0,9.84,0.0,11.48,0.0,8.2,0.0,3.2799999999999994,3.0008695652173913,0.0,0.0,0.0,0.0
2,T,32,4,39,1.3448275862068966,2.6,89.45,62.1,32.54,1.0,0.0,9.38,0.0,9.38,0.0,9.38,0.0,3.13,0.0,9.379999999999999,9.379999999999999,18.759999999999998,2.78,0.0,0.0,0.0,0.0
2,T,27,4,38,1.4074074074074074,3.6,81.49,23.88,52.89,1.0,0.0,3.7,0.0,14.81,0.0,3.7,0.0,7.41,0.0,7.41,0.0,7.409999999999999,3.0730000000000004,0.0,0.0,0.0,0.0
2,F,39,4,50,1.2820512820512822,3.6,86.91,18.87,2.93,99.0,7.69,0.0,5.13,0.0,0.0,23.08,0.0,5.13,7.69,10.25,0.0,-5.139999999999997,3.331428571428572,0.0,0.0,0.0,0.0
2,T,37,4,61,1.6944444444444444,8.0,53.88,73.93,9.25,20.23,2.7,2.7,2.7,8.11,0.0,16.22,0.0,5.4,0.0,5.41,0.0,-5.399999999999999,2.7126666666666663,0.0,0.0,0.0,2.702702702702702
3,F,64,4,83,1.3174603174603174,5.9,80.82,34.33,23.08,1.0,0.0,7.81,0.0,6.25,0.0,10.94,0.0,4.69,1.56,6.25,0.0,3.119999999999999,2.9266666666666667,0.0,0.0,0.0,0.0
3,T,63,5,77,1.2419354838709677,3.4,92.73,56.86,56.69,43.94,3.17,1.59,0.0,3.17,0.0,26.98,0.0,4.76,0.0,7.93,0.0,-14.290000000000001,3.2600000000000002,0.0,0.0,0.0,0.0
3,T,73,4,104,1.4246575342465753,8.1,69.82,38.1,47.74,20.23,0.0,0.0,0.0,4.11,2.74,24.66,0.0,4.11,1.37,8.22,0.0,-16.439999999999998,2.7109523809523814,0.0,0.0,0.0,0.0
3,F,55,4,75,1.4150943396226414,6.1,74.9,34.49,2.49,20.23,0.0,0.0,1.82,7.27,0.0,18.18,0.0,3.64,3.64,12.73,0.0,-5.449999999999999,2.9494736842105262,0.0,1.818181818181818,0.0,0.0
3,T,42,4,57,1.3902439024390243,4.9,77.94,10.19,24.32,20.23,2.38,2.38,0.0,2.38,0.0,26.19,0.0,4.76,4.76,2.38,2.38,-16.67,2.725,0.0,0.0,0.0,0.0
4,F,25,3,34,1.4166666666666667,4.1,80.28,1.9,13.33,1.0,0.0,12.0,0.0,8.0,0.0,20.0,0.0,4.0,0.0,8.0,0.0,0.0,2.4928571428571433,0.0,0.0,0.0,0.0
4,T,61,3,77,1.2622950819672132,7.7,76.25,50.51,11.41,6.23,3.28,4.92,3.28,3.28,1.64,27.87,0.0,0.0,3.28,8.2,0.0,-11.470000000000002,2.786111111111111,0.0,0.0,0.0,0.0
4,T,43,4,53,1.325,3.7,86.71,1.0,91.21,56.53,2.33,0.0,0.0,9.3,0.0,23.26,0.0,11.63,0.0,2.33,2.33,-16.270000000000003,2.8375,0.0,0.0,0.0,0.0
